x,Curve1
-200.172,2.51171
-198.879,2.21209
-197.845,1.83005
-196.034,1.10117
-194.741,0.66037
-193.966,0.2253
-192.931,-0.18027
-192.155,-0.58005
-191.897,-1.18585
-191.379,-0.87394
-190.345,-2.1501
-190.086,-1.57944
-187.759,-2.70228
-187.241,-3.30801
-186.466,-3.69014
-185.69,-4.04873
-184.655,-4.33078
-183.103,-4.61856
-182.586,-4.78311
-181.034,-5.05325
-180.259,-5.35302
-178.707,-5.65844
-175.086,-5.82208
-171.466,-5.88573
-164.224,-5.59536
-161.897,-5.30056
-157.759,-4.88758
-154.138,-4.48651
-149.483,-4.04985
-144.31,-3.30715
-140.431,-2.98836
-136.552,-2.65193
-132.672,-2.28608
-128.017,-1.89648
-124.138,-1.58357
-120.776,-1.31788
-116.121,-1.01062
-111.724,-0.70345
-104.483,-0.42485
-99.828,-0.17054
-93.621,0.03129
-85.086,0.32792
-76.293,0.5305
-66.983,0.71559
-57.155,0.93613
-46.034,1.08646
-32.328,1.23755
-19.655,1.32951
-5.948,1.42178
13.448,1.50396
32.845,1.53319
53.793,1.59229
74.483,1.60426
100.086,1.62944
