x,Curve1
-146.799,4.93151
-145.818,4.73973
-144.85,4.5
-143.635,4.21918
-143.511,3.69863
-143.444,3.9589
-142.022,3.47945
-141.134,2.93151
-141.074,3.16438
-140.969,2.56849
-140.268,2.29452
-139.581,1.9589
-139.029,1.10274
-138.95,1.41096
-138.885,1.66438
-138.13,0.59589
-138.079,0.79452
-136.396,0.32877
-135.957,0.03425
-134.989,-0.20548
-134.787,-0.42466
-134.352,-0.73288
-133.121,-0.95205
-132.909,-1.13014
-131.923,-1.30137
-131.269,-1.76027
-131.218,-1.56164
-128.985,-1.89041
-125.369,-1.84932
-122.741,-1.64384
-120.875,-1.39726
-119.785,-1.16438
-119.224,-0.9863
-117.869,-0.72603
-114.709,-0.45205
-113.09,-0.16438
-111.49,0.04795
-109.086,0.38356
-106.692,0.67808
-105.329,0.9726
-102.429,1.23288
-100.815,1.5
-97.641,1.82877
-95.503,2.13014
-94.138,2.43151
-91.242,2.67808
-85.476,3.06849
-80.504,3.37671
-73.722,3.71233
-70.577,3.92466
-63.573,4.12329
-57.596,4.33562
-49.818,4.5411
-38.965,4.68493
-30.704,4.76712
-21.673,4.83562
-12.131,4.89041
-1.559,4.94521
8.491,4.9726
18.278,4.97945
29.095,4.9863
