x,Curve1
-147.025,3.8303
-146.275,3.61818
-145.872,3.13333
-145.547,3.38788
-145.462,2.85455
-145.323,1.16364
-145.277,2.6
-145.161,1.69091
-145.091,2.14545
-145.083,2.35152
-145.021,1.4
-144.851,0.93333
-144.843,1.93939
-144.665,0.67879
-144.565,-0.04242
-144.487,0.21818
-144.418,0.47273
-144.41,-0.32121
-144.201,-0.55758
-144.116,-0.89091
-143.721,-1.38182
-143.397,-1.12727
-142.739,-1.61212
-141.772,-2.05455
-141.741,-1.8303
-141.532,-2.26667
-139.706,-2.43636
-137.029,-2.53939
-132.333,-2.46061
-130.538,-2.25455
-128.418,-1.99394
-125.516,-1.72121
-123.868,-1.4303
-121.207,-1.14545
-118.46,-0.79394
-116.781,-0.47879
-113.532,-0.13333
-112.735,0.09091
-109.687,0.47879
-106.576,0.71515
-104.387,1.0303
-101.23,1.30303
-97.663,1.69697
-93.679,2.01818
-91.342,2.24848
-87.397,2.53939
-82.94,2.8303
-78.507,3.10303
-71.513,3.38182
-66.267,3.49091
-59.164,3.65455
-51.636,3.75152
-41.362,3.8
-28.039,3.83636
-14.507,3.83636
3.358,3.8303
