x,Curve1
-85.177,4.11548
-84.438,3.95581
-84.13,3.55594
-83.804,0.30942
-83.747,3.76945
-83.639,0.82949
-83.609,-0.01049
-83.585,-0.99715
-83.383,1.82961
-83.314,-0.7037
-83.22,1.06301
-83.219,3.34968
-83.217,2.63635
-83.1,2.12973
-83.073,-1.28359
-83.068,0.57641
-83.054,2.86975
-82.926,2.36981
-82.868,3.1165
-82.859,1.54984
-82.64,1.24327
-82.442,-1.50331
-82.423,-0.34997
-82.201,-2.0832
-82.163,-1.77652
-81.79,-2.28302
-80.914,-2.5093
-79.561,-2.75536
-77.795,-2.91458
-73.862,-2.86616
-70.913,-2.65152
-68.077,-2.35692
-65.777,-2.0759
-63.55,-1.83491
-61.507,-1.554
-58.927,-1.25952
-57.786,-1.05235
-54.693,-0.75764
-52.358,-0.4566
-51.169,-0.22274
-48.637,0.04505
-46.582,0.33263
-43.418,0.66737
-41.202,0.90169
-38.145,1.17638
-35.076,1.45774
-31.894,1.65916
-27.726,1.98101
-25.768,2.21521
-20.204,2.45769
-16.317,2.76608
-12.145,2.94794
-7.775,3.09654
-2.845,3.27207
2.527,3.40779
9.534,3.59757
16.995,3.75422
24.58,3.83759
32.667,3.91452
42.001,3.972
53.865,4.01061
66.302,4.0828
78.411,4.11485
90.204,4.11342
99.686,4.11097
107.922,4.12797
