x,Curve1
-85.385,-7.88301
-84.359,-7.70964
-83.333,-7.42515
-81.538,-7.06446
-80.769,-6.74519
-79.231,-6.41222
-78.462,-5.97489
-76.41,-5.59342
-75.385,-5.09366
-73.846,-4.60791
-72.564,-4.19848
-71.538,-3.539
-71.026,-3.85856
-70,-3.15741
-69.487,-2.67142
-67.436,-2.27606
-65.128,-1.76965
-64.615,-1.44338
-62.308,-1.08974
-60.513,-0.7221
-58.974,-0.34052
-55.897,-0.05651
-53.846,0.19302
-51.795,0.40088
-45.897,0.42729
-40.769,0.16222
-36.667,-0.24846
-33.846,-0.86717
-29.487,-1.38206
-27.179,-1.68815
-23.077,-2.22382
-19.744,-2.68293
-16.667,-3.02392
-12.564,-3.41376
-10.256,-3.73374
-5.641,-4.13064
-1.538,-4.50659
0.256,-4.68061
3.333,-4.87577
6.154,-5.08476
11.026,-5.34977
14.615,-5.55894
19.487,-5.79618
25.128,-6.06137
31.538,-6.35452
40,-6.62731
48.205,-6.88616
55.385,-7.08226
67.179,-7.26555
77.692,-7.45548
95.128,-7.64008
107.692,-7.76104
122.308,-7.82692
136.667,-7.92747
