x,Curve1
-137.218,2.66785
-136.316,2.51536
-135.906,2.32446
-135.501,2.13991
-134.8,1.91091
-134.61,1.66896
-133.639,1.42733
-132.101,1.12862
-131.33,0.81048
-130.815,0.48585
-129.999,0.1104
-129.164,-0.29052
-128.792,-0.09927
-128.774,-0.45595
-127.051,-0.99026
-126.975,-0.75455
-126.568,-1.60788
-126.109,-1.19368
-125.965,-1.37833
-125.596,-1.84951
-124.038,-2.17369
-123.498,-2.53015
-123.352,-2.38359
-121.985,-2.79702
-119.965,-3.04457
-117.655,-3.33021
-114.637,-3.52002
-110.809,-3.41011
-108.09,-3.21787
-106.213,-2.94956
-104.632,-2.63679
-101.059,-2.20215
-99.734,-1.89585
-97.606,-1.61469
-96.576,-1.26394
-93.937,-0.96982
-90.073,-0.57328
-87.965,-0.26665
-83.801,0.07907
-80.394,0.39261
-77.76,0.6931
-72.753,0.96274
-69.297,1.21261
-66.016,1.35413
-59.465,1.64991
-51.595,1.92714
-41.865,2.16057
-31.819,2.32407
-22.51,2.42993
-11.607,2.49826
1.121,2.56736
14.115,2.6302
27.897,2.68701
43.013,2.70616
61.277,2.70118
75.34,2.73263
