x,Curve1
-119.903,4.58079
-118.425,4.1462
-118.17,4.35828
-117.922,3.89864
-116.861,3.61563
-116.649,3.29237
-116.395,3.00444
-115.928,2.22659
-115.916,2.73669
-115.686,1.92857
-115.407,2.49418
-115.383,1.68104
-114.946,0.87794
-114.631,1.14051
-114.601,1.33242
-114.153,0.37275
-114.044,0.63031
-113.547,0.04437
-112.977,-0.48098
-112.862,-0.71837
-112.505,-0.25379
-111.953,-0.96095
-111.232,-1.1934
-110.129,-1.44106
-109.051,-1.70891
-106.978,-1.81532
-103.04,-1.69982
-100.955,-1.4628
-97.405,-1.17047
-95.932,-0.94345
-94.211,-0.67606
-92.672,-0.39349
-90.37,-0.14135
-87.243,0.29752
-83.898,0.7515
-80.759,1.20046
-77.166,1.52814
-74.585,1.84589
-71.634,2.13832
-67.253,2.45577
-63.096,2.75305
-57.322,3.06521
-52.765,3.36242
-45.985,3.67946
-40.568,3.86036
-28.231,4.14112
-20.499,4.25093
-10.374,4.35528
0.285,4.40399
10.586,4.48812
22.414,4.51138
35.041,4.5345
45.227,4.52269
52.389,4.49118
