x,Curve1
-138.419,3.21958
-137.054,2.94124
-136.216,2.70082
-135.903,2.49199
-134.18,1.82762
-134.018,2.20105
-133.243,1.20746
-132.793,1.467
-132.356,0.77718
-131.23,0.42287
-131.142,0.0811
-130.286,-0.22893
-129.423,-0.56429
-129.341,-0.88073
-128.781,-1.04523
-127.95,-1.26033
-127.629,-1.5008
-127.053,-1.72859
-126.149,-2.22217
-125.953,-1.98164
-124.789,-2.48152
-124.203,-2.74728
-122.843,-3.00663
-122.784,-3.23447
-120.668,-3.41779
-118.553,-3.59478
-113.932,-3.46139
-110.891,-3.22056
-107.865,-2.92277
-106.14,-2.59347
-104.657,-2.3275
-101.909,-1.95379
-100.434,-1.65616
-98.674,-1.45978
-96.933,-1.19377
-94.676,-0.92138
-92.927,-0.68069
-91.449,-0.39572
-88.934,-0.12331
-85.653,0.1935
-83.383,0.41525
-81.365,0.61167
-78.334,0.89047
-75.807,1.11859
-70.705,1.39128
-67.668,1.65109
-62.563,1.91112
-57.695,2.08885
-50.259,2.33647
-42.3,2.55883
-34.32,2.70524
-21.683,2.83948
-12.918,2.948
-3.1,2.98701
11.886,3.03923
23.004,3.05306
34.124,3.05423
44.981,3.07437
