x,Curve1
131.077,2.92308
131.182,-1.5743
131.401,-0.70609
131.584,-1.8633
131.625,-0.40641
131.726,-2.33526
131.813,2.72573
131.842,0.74606
131.926,2.23344
131.956,0.11164
131.999,-2.85787
132.117,1.93919
132.28,2.48247
132.281,1.34034
132.305,1.07132
132.31,0.36067
132.368,-2.59867
132.519,1.65019
132.548,-1.32949
132.663,-0.10604
132.825,0.57938
132.946,-2.04996
134.074,-3.115
135.173,-3.34249
139.545,-3.41494
144.017,-3.2741
147.025,-2.87561
149.96,-2.52795
154.546,-2.02154
157.503,-1.65863
161.856,-1.17271
165.758,-0.71763
170.736,-0.22104
175.424,0.2144
179.189,0.57292
183.768,0.93212
191.314,1.37505
198.584,1.76699
208.668,2.13593
221.946,2.46188
232.941,2.61332
247.863,2.80868
258.728,2.86864
275.695,2.92868
290.16,2.94599
304.429,2.96821
315.811,2.96262
