x,Curve1
-259.728,-2.82448
-256.492,-2.85862
-254.426,-2.81652
-252.91,-2.86481
-251.384,-2.90846
-249.146,-2.84979
-246.685,-2.8305
-245.192,-2.79061
-243.617,-2.85977
-241.469,-2.84522
-240.22,-2.82629
-238.962,-2.90251
-236.353,-2.85997
-234.946,-2.81314
-233.233,-2.8637
-230.894,-2.805
-228.711,-2.82292
-225.483,-2.87304
-222.518,-2.8536
-219.625,-2.82027
-217.738,-2.8847
-215.514,-2.83299
-212.993,-2.88331
-209.034,-2.82181
-204.74,-2.84376
-202.1,-2.88477
-199.78,-2.83535
-197.522,-2.91592
-193.222,-2.83575
-189.539,-2.86021
-187.778,-2.88754
-184.883,-2.80315
-180.797,-2.92727
-178.147,-2.8151
-176.085,-2.94214
-171.998,-2.81795
-169.443,-2.90075
-166.242,-2.865
-164.012,-2.8597
-162.143,-2.83363
-160.26,-2.90038
-157.825,-2.84397
-155.377,-2.88039
-153.697,-2.9472
-150.758,-2.8419
-147.108,-2.88261
-143.542,-2.86532
-140.06,-2.88983
-137.282,-2.86349
-136.216,-2.83533
-133.919,-2.94606
-130.769,-2.83606
-127.897,-2.91181
-124.726,-2.84126
-122.652,-2.91259
-118.106,-2.86021
-115.585,-2.91053
-112.4,-2.83301
-109.884,-2.88565
-105.456,-2.89132
-103.917,-2.928
-100.746,-2.85745
