x,Curve1
-118.494,2.82548
-115.954,2.64429
-115.218,2.46994
-114.101,1.99873
-113.886,2.23094
-112.752,1.74683
-111.338,1.4433
-110.204,1.15918
-110.138,0.70756
-109.799,0.84297
-109.36,0.50094
-108.897,0.33955
-107.159,0.18434
-106.903,-0.01572
-106.241,-0.33199
-105.298,-0.66768
-104.429,-0.94528
-104.322,-1.22918
-102.559,-1.60375
-100.458,-1.84291
-99.63,-2.08825
-99.068,-2.32708
-97.959,-2.59184
-97.09,-2.86944
-96.875,-3.03723
-95.303,-3.26338
-94.327,-3.42488
-91.059,-3.57397
-86.517,-3.51688
-84.664,-3.36244
-82.471,-3.07259
-80.411,-2.67948
-77.962,-2.38969
-76.224,-1.9449
-73.8,-1.43574
-69.349,-0.90767
-66.826,-0.47595
-63.028,-0.03806
-58.941,0.37397
-54.812,0.75372
-53.05,0.97915
-44.562,1.35797
-42.559,1.59625
-31.977,1.94236
-23.24,2.12758
-14.47,2.28698
-7.388,2.36288
0.968,2.44495
12.882,2.55207
21.304,2.58252
32.813,2.60585
44.297,2.64854
55.044,2.66558
68.911,2.6497
78.624,2.67341
90.951,2.65786
