x,Curve1
-96.51,7.85549
-95.956,7.70797
-95.818,7.54325
-95.486,7.35588
-94.827,6.96408
-94.548,6.646
-94.331,7.1745
-94.208,5.47568
-94.068,6.31664
-94.012,5.95303
-93.901,5.7258
-93.74,5.1179
-93.465,5.28846
-92.835,4.32847
-92.59,4.92516
-92.537,4.55586
-92.376,3.94796
-92.285,4.16959
-92.258,3.73778
-92.041,4.76627
-91.448,3.21536
-91.147,3.44843
-91.124,3.00526
-90.61,2.76113
-90.351,2.39191
-90.23,2.18741
-90.065,2.59088
-89.497,1.97746
-89.176,1.76168
-88.841,1.57998
-88.092,1.40981
-87.379,1.14872
-86.43,0.96726
-84.037,0.80908
-78.875,0.9133
-77.565,1.11266
-75.817,1.38037
-73.438,1.68809
-70.024,2.02461
-68.069,2.29808
-65.67,2.65694
-63.242,3.084
-60.647,3.42021
-57.847,3.7565
-54.87,4.02467
-52.699,4.32663
-49.911,4.6345
-47.32,4.95935
-42.908,5.23375
-40.524,5.55283
-35.704,5.8217
-32.951,6.04434
-28.766,6.26183
-24.991,6.47917
-19.166,6.70297
-13.147,6.89843
-6.1,7.10564
0.107,7.2614
8.148,7.39513
17.213,7.52925
28.303,7.60731
38.981,7.67954
49.643,7.71199
60.91,7.72194
69.31,7.7308
