x,Curve1
-246.683,-0.31778
-244.057,-0.25185
-241.421,-0.17318
-239.439,-0.27341
-239.23,-0.33693
-237.838,-0.20199
-234.572,-0.30749
-231.441,-0.25388
-229.831,-0.16971
-228.096,-0.25741
-226.871,-0.33917
-224.449,-0.20335
-222.427,-0.25259
-220.667,-0.30842
-217.229,-0.19085
-215.207,-0.24009
-213.7,-0.28977
-211.079,-0.23022
-208.726,-0.18363
-206.47,-0.26452
-202.293,-0.19091
-200.009,-0.23355
-197.739,-0.29532
-194.543,-0.15885
-192.283,-0.23336
-190.529,-0.29557
-187.858,-0.17228
-184.597,-0.28416
-181.966,-0.21186
-179.895,-0.19736
-178.958,-0.31759
-174.741,-0.19299
-172.982,-0.24882
-171.232,-0.31739
-168.275,-0.15565
-165.524,-0.26159
-162.105,-0.16952
-158.829,-0.26228
-153.869,-0.17526
-150.063,-0.24846
-146.62,-0.12452
-144.895,-0.22496
-142.11,-0.28629
-139.147,-0.11817
-137.169,-0.22477
-136.203,-0.30675
-131.957,-0.14391
-129.196,-0.23711
-126.545,-0.13932
-124.047,-0.23911
-121.154,-0.16022
-117.08,-0.22045
-114.449,-0.14815
-110.911,-0.23432
-106.977,-0.14181
-104.201,-0.21588
-98.998,-0.14777
-96.481,-0.22206
-94.112,-0.15636
-90.281,-0.19769
-86.104,-0.12408
-83.592,-0.20475
-81.015,-0.20256
-78.617,-0.09861
-76.377,-0.19862
-75.133,-0.25489
-73.275,-0.18325
-71.397,-0.08611
-69.162,-0.19249
-67.665,-0.25492
-64.202,-0.10548
-61.699,-0.19889
-58.859,-0.19011
-57.254,-0.11232
-53.978,-0.20508
