x,Curve1
-261.711,-0.07573
-259.875,-0.1505
-258.518,-0.21466
-255.069,-0.05244
-253.5,-0.13266
-252.144,-0.19681
-249.967,-0.13709
-247.167,-0.13096
-244.121,-0.02799
-243.141,-0.14063
-241.242,-0.29066
-239.327,-0.13423
-237.344,0.0491
-235.775,-0.03112
-235.342,-0.16004
-233.751,-0.33165
-232.493,-0.23454
-231.378,-0.09446
-229.798,0.02962
-227.216,-0.05033
-226.331,-0.20063
-225.255,-0.27561
-222.901,-0.14594
-220.76,-0.0002
-219.019,-0.11264
-217.731,-0.20369
-214.636,-0.18135
-213.097,-0.07341
-210.763,-0.05128
-207.625,-0.21173
-204.209,-0.16242
-201.738,-0.08649
-200.281,-0.01083
-197.962,-0.29515
-196.211,-0.20328
-194.282,-0.04147
-193.024,0.05564
-190.953,-0.1266
-189.431,-0.32512
-187.303,-0.18476
-184.985,0.03092
-182.539,-0.10283
-181.482,-0.28534
-177.562,-0.03698
-174.713,-0.11148
-171.904,-0.20212
-168.502,-0.1582
-166.017,-0.07689
-162.798,-0.20505
-159.649,-0.1612
-156.472,-0.10658
-152.732,-0.22923
-148.831,-0.0884
-144.557,-0.20015
-139.431,-0.07512
-135.546,-0.24074
-131.564,-0.06762
-128.507,-0.26035
-124.032,-0.09248
-121.422,-0.16167
-118.84,-0.24162
-115.206,-0.10624
-111.918,-0.2075
-107.886,-0.11502
-103.037,-0.19974
-99.245,-0.10195
-97.279,-0.22507
-94.713,-0.11148
-90.302,-0.16944
-85.168,-0.14117
-83.236,-0.17829
-81.019,-0.10242
-78.224,-0.19845
-74.151,-0.08983
-70.755,-0.14805
-65.045,-0.09275
-62.435,-0.16194
-57.11,-0.05836
-52.917,-0.2024
-49.393,-0.11005
-45.276,-0.18421
-40.869,-0.04324
-37.265,-0.21969
-33.351,-0.07348
-29.796,-0.1693
-27.665,-0.22787
-23.361,-0.02779
-21.929,-0.16181
-20.469,-0.28507
-16.521,-0.02595
-14.582,-0.15983
-13.547,-0.25095
