x,Curve1
-37.678,3.86872
-37.096,3.78883
-35.017,3.67283
-33.696,3.76006
-31.59,3.88791
-30.655,3.76503
-29.857,3.62663
-28.142,3.73571
-26.78,3.88779
-25.087,3.76229
-23.87,3.68588
-22.414,3.78555
-21.23,3.85727
-19.656,3.74404
-18.804,3.68901
-17.481,3.77933
-15.087,3.76229
-13.718,3.7261
-11.504,3.82315
-9.288,3.72575
-7.22,3.79184
-4.064,3.77836
-1.894,3.80747
-0.704,3.68784
0.755,3.79368
1.946,3.87466
3.265,3.75819
4.47,3.66325
5.692,3.79364
6.778,3.9085
7.952,3.76417
8.63,3.63496
10.759,3.79985
11.455,3.89905
12.265,3.77918
13.843,3.67213
16.228,3.84026
18.324,3.75205
18.515,3.85402
19.035,3.67533
21.036,3.83706
22.542,3.81638
23.997,3.71543
25.544,3.7596
27.37,3.84406
29.953,3.72528
31.893,3.79129
32.704,3.87204
35.006,3.70988
36.82,3.77581
37.642,3.87509
39.452,3.73423
40.625,3.78742
41.917,3.82834
43.502,3.73364
46.222,3.831
