x,Curve1
67.179,-1.95899
74.615,-1.98097
78.974,-1.95764
81.282,-1.90201
83.59,-1.63253
84.872,-1.35005
85.385,-1.07354
86.41,-0.80353
86.667,-0.48917
88.205,-0.19422
88.462,0.07612
89.487,0.42789
90.513,0.74821
90.769,1.06257
91.538,1.35156
92.821,1.60259
93.846,1.94807
94.872,2.46337
95.128,2.74628
96.41,3.04134
97.692,3.27979
97.949,3.58157
98.462,3.83293
98.718,4.09697
99.487,4.34193
101.282,4.61791
102.051,5.15847
103.077,4.84986
104.359,5.3965
105.385,5.66022
106.154,5.93033
108.718,6.14938
110.513,6.36876
112.051,6.50019
117.949,6.504
120,6.36478
122.051,6.0809
124.872,5.82186
127.179,5.48756
128.974,5.17863
130.769,4.88228
133.077,4.49137
135.385,4.10047
138.205,3.77224
138.974,3.35053
142.564,3.02199
143.59,2.6442
147.179,2.29678
149.487,1.93732
152.564,1.60899
154.615,1.24964
157.179,0.92152
161.026,0.55513
166.154,0.27625
168.205,-0.00763
173.077,-0.18578
177.692,-0.43928
182.308,-0.63619
188.462,-0.84003
192.821,-1.01166
201.282,-1.23534
208.718,-1.37682
218.974,-1.56351
231.795,-1.69467
241.538,-1.76165
250.769,-1.85986
262.051,-1.90233
273.333,-1.91335
287.436,-1.90668
299.231,-1.94307
311.282,-1.96071
320.769,-1.95839
331.026,-1.98156
344.359,-1.98086
353.077,-1.99081
364.103,-2.00801
