x,Curve1
-166.338,4.94162
-165.217,4.72031
-164.662,4.43604
-163.627,4.10354
-162.64,3.70851
-161.907,3.32021
-161.901,2.99383
-161.643,2.66071
-160.85,2.34885
-160.845,1.68913
-160.834,1.36969
-160.43,0.89086
-160.359,1.98119
-160.203,1.18271
-159.998,0.11343
-159.594,0.63459
-159.545,0.36379
-159.432,-0.49028
-159.114,-0.74697
-158.672,-0.17716
-157.761,-1.00282
-157.491,-1.32204
-157.362,-1.82194
-156.909,-1.57157
-156.273,-2.08494
-156.235,-2.36963
-155.065,-2.86174
-154.871,-2.61159
-153.421,-3.07569
-151.572,-3.35891
-149.949,-3.60065
-149.55,-3.75311
-147.102,-3.93168
-142.622,-3.82388
-138.056,-3.60491
-134.934,-3.24821
-131.543,-2.87741
-127.85,-2.4508
-122.297,-1.96019
-120.717,-1.59086
-117.073,-1.22679
-112.614,-0.81346
-108.732,-0.47698
-105.945,-0.21778
-103.918,0.06164
-99.508,0.41244
-97.232,0.67817
-92.795,1.06371
-87.868,1.41492
-83.21,1.75203
-78.88,1.99859
-74.6,2.18262
-70.82,2.38707
-66.513,2.60583
-60.873,2.87429
-56.027,3.12127
-48.619,3.33561
-42.273,3.51436
-36.456,3.6788
-27.253,3.87375
-18.853,4.03334
-9.165,4.18702
-1.596,4.27648
7.801,4.38826
13.802,4.45563
24.983,4.53413
33.043,4.58927
42.392,4.63851
51.212,4.67344
58.722,4.68646
67.801,4.7216
