x,Curve1
-212.754,-0.09674
-210.007,-0.26282
-205.295,-0.11438
-202.039,-0.29317
-198.556,-0.02961
-194.587,-0.32363
-191.589,-0.00248
-187.611,-0.27727
-183.13,-0.07759
-179.359,-0.25627
-176.167,-0.05687
-171.64,-0.26744
-167.149,-0.04854
-163.676,-0.3042
-159.948,-0.06623
-156.973,-0.28995
-153.52,-0.08409
-150.251,-0.23723
-145.282,-0.08874
-143.294,-0.22934
-141.171,-0.10709
-138.381,-0.18983
-130.655,-0.18817
-128.264,-0.04664
-125.039,-0.28313
-121.816,-0.02603
-119.118,-0.28827
-115.364,0.00099
-111.409,-0.31868
-107.892,0.009
-103.392,-0.25286
-100.407,0.04265
-96.713,-0.28349
-93.269,-0.09685
-89.719,-0.20507
-88.471,-0.28172
-85.252,-0.03104
-82.521,-0.22917
-79.619,-0.09394
-74.525,-0.20182
-69.334,-0.12379
-65.524,-0.22554
-63.655,-0.09693
-59.336,-0.2114
-56.976,-0.12756
-52.908,-0.22925
-50.778,-0.09418
-46.195,-0.19577
-42.814,-0.13094
