x,Curve1
-196.566,4.64436
-192.86,4.49785
-189.535,4.65814
-187.114,4.52226
-184.387,4.62166
-179.705,4.62683
-176.709,4.53375
-172.88,4.68256
-169.08,4.60845
-163.563,4.65671
-159.337,4.51077
-155.452,4.70181
-152.053,4.51882
-148.515,4.64321
-144.739,4.55099
-139.908,4.67078
-136.423,4.55415
-131.852,4.67366
-128.628,4.55674
-124.601,4.65757
-122.164,4.53375
-116.703,4.73858
-113.541,4.5734
-110.302,4.66734
-106.762,4.59293
-102.27,4.65211
-96.233,4.70095
-90.162,4.57512
-87.94,4.68601
-83.139,4.58288
-79.325,4.71962
-75.864,4.58489
-72.807,4.73887
-68.896,4.55042
-67.131,4.70899
-63.378,4.59868
-61.125,4.7337
-56.615,4.60615
-52.115,4.67136
-44.351,4.64981
-40.907,4.70181
-34.001,4.61907
-29.714,4.7202
-21.973,4.68055
-17.252,4.71589
-14.501,4.63459
-7.344,4.7449
-2.59,4.60557
