x,Curve1
-71.745,1.8318
-68.426,1.747
-67.915,1.60124
-65.872,1.6966
-65.106,1.90195
-64.085,1.99057
-62.809,1.83379
-62.043,1.65903
-61.277,1.5018
-59.745,1.67859
-59.234,1.85447
-57.191,1.95568
-56.17,1.83377
-55.66,1.68217
-54.638,1.56026
-52.596,1.71995
-51.574,1.90798
-49.277,1.76964
-48.255,1.60679
-46.468,1.73702
-44.681,1.87309
-43.404,1.78064
-42.128,1.64726
-38.298,1.85529
-36.511,1.76914
-35.745,1.6704
-32.936,1.83661
-31.149,1.74461
-28.596,1.75854
-25.532,1.82556
-22.723,1.70521
-20.681,1.80642
-18.894,1.98927
-17.617,1.78572
-16.851,1.54077
-13.787,1.96451
-12.255,1.77872
-10.723,1.68065
-6.128,1.87767
-3.83,1.6867
0,1.93567
1.277,1.80814
2.553,1.63967
5.872,1.85895
9.191,1.76245
11.489,1.84634
14.043,1.69068
16.596,1.91514
18.894,1.6657
20.936,1.91895
23.489,1.68142
26.043,1.89419
29.106,1.73313
31.915,1.95782
35.234,1.68588
37.787,1.96882
40.085,1.68429
41.106,1.82553
42.383,1.94361
43.915,1.78706
44.681,1.67662
46.213,1.99375
