x,Curve1
94.86,2.8792
95.938,2.73863
96.395,2.58808
96.643,2.43263
97.19,1.5699
97.376,1.35308
97.433,2.00879
97.687,2.25901
97.847,1.81575
98.369,0.92941
98.429,1.18889
98.72,0.67499
98.767,-0.67874
98.789,0.14203
99.201,-0.45195
99.207,-0.04628
99.256,0.40187
99.389,-0.26782
99.722,-1.14018
100.516,-1.5593
100.601,-0.87527
100.741,-1.73835
100.969,-1.31363
101.348,-1.94066
101.905,-2.39301
102.072,-2.62871
102.301,-2.20398
103.713,-2.81597
103.719,-3.00936
104.825,-3.12161
105.501,-3.25782
106.98,-3.40277
109.787,-3.44279
113.406,-3.284
114.465,-3.04252
117.574,-2.78512
120.61,-2.40042
122.982,-2.06818
124.879,-1.80238
127.924,-1.40824
130.078,-1.09034
132.876,-0.73887
134.86,-0.38809
136.141,-0.12755
139.033,0.11552
141.598,0.43849
143.927,0.72824
146.251,1.01327
148.584,1.30774
152.067,1.53245
155.356,1.76642
160.18,2.11022
165.964,2.39824
169.191,2.57084
177.138,2.78526
186.84,2.92573
196.262,2.99048
203.604,3.01098
211.747,3.01802
220.913,3.03066
