x,Curve1
-129.991,3.81133
-128.007,3.60628
-127.061,3.55716
-123.577,3.83198
-122.018,3.683
-120.961,3.53967
-118.407,3.70641
-117.239,3.80221
-114.628,3.67342
-110.998,3.70944
-107.485,3.66983
-104.014,3.76854
-102.368,3.67627
-97.865,3.78256
-95.452,3.69126
-93.777,3.61789
-89.935,3.79253
-87.826,3.6694
-83.626,3.74387
-80.899,3.69069
-75.373,3.79827
-72.535,3.6509
-69.47,3.81828
-66.405,3.65232
-63.036,3.85153
-60.246,3.67265
-57.553,3.76408
-53.745,3.75001
-49.072,3.79991
-46.394,3.71523
-42.059,3.87791
-39.545,3.68611
-36.962,3.87175
-33.236,3.63744
-30.224,3.93682
-26.754,3.7022
-23.718,3.85067
-20.764,3.77891
-15.59,3.82316
-12.144,3.73944
-8.765,3.94495
-5.295,3.71032
-2.172,3.91551
1.12,3.73097
4.498,3.93648
6.777,3.75695
9.716,3.84241
15.836,3.83753
18.592,3.80326
21.01,3.88177
24.162,3.77253
27.927,3.89676
32.025,3.7384
35.109,3.91838
39.236,3.77891
