x,Curve1
8.922,4.55417
9.966,4.43015
10.388,4.1499
10.628,4.28002
10.788,4.0315
11.702,3.919
12.618,3.78917
13.408,3.63907
13.558,3.47725
14.346,3.33872
14.361,3.22022
14.894,3.07295
15.038,2.95738
15.311,2.83317
15.84,2.7148
16.113,2.5877
17.03,2.45208
17.815,2.33666
18.091,2.19222
18.881,2.04212
19.413,1.90063
19.818,1.75044
20.091,1.62623
21.263,1.49934
22.82,1.387
25.401,1.29803
28.878,1.2295
32.212,1.27943
34.892,1.42748
36.285,1.58099
38.571,1.78964
41.368,2.01574
44.294,2.24766
47.599,2.52013
49.507,2.66799
53.455,2.94062
55.997,3.15511
60.215,3.32664
64.431,3.51552
69.033,3.69293
73.122,3.86443
78.496,4.04203
83.877,4.15604
89.008,4.21797
96.962,4.31526
106.459,4.39269
115.838,4.39495
125.087,4.40874
134.723,4.40817
147.056,4.41403
