x,Curve1
-107.172,-0.27496
-104.462,-0.14572
-102.161,-0.20579
-100.147,-0.2984
-97.907,-0.10354
-94.139,-0.2886
-91.419,-0.14629
-88.126,-0.27226
-83.841,-0.13081
-80.804,-0.25011
-78.35,-0.11419
-75.068,-0.25323
-71.877,-0.17654
-67.756,-0.24414
-63.047,-0.2271
-60.593,-0.09118
-56.774,-0.21091
-53.624,-0.18648
-48.736,-0.27411
-45.024,-0.1977
-41.962,-0.28433
-39.533,-0.18108
-34.926,-0.2947
-31.976,-0.19173
-28.402,-0.29172
-25.744,-0.22781
-22.911,-0.2751
-20.232,-0.18506
-16.934,-0.3045
-13.728,-0.20821
-8.815,-0.26317
-2.812,-0.25991
0.619,-0.20949
3.656,-0.32879
6.355,-0.21261
10.681,-0.35222
12.92,-0.15736
17.184,-0.37537
19.179,-0.16077
23.443,-0.37878
25.938,-0.1906
29.236,-0.31004
