x,Curve1
-182.717,2.96325
-181.357,2.84469
-180.31,2.65549
-179.121,2.4156
-178.079,2.13722
-176.895,1.80815
-175.666,1.28171
-175.111,1.44831
-174.418,1.11198
-173.466,0.86529
-173.279,0.61722
-172.855,0.37595
-171.76,0.07856
-170.974,-0.20027
-170.424,-0.4859
-169.022,-1.1649
-168.985,-0.81452
-167.976,-1.3541
-167.189,-1.63293
-165.892,-1.91085
-165.451,-2.15846
-164.225,-2.41102
-163.26,-2.75323
-162.456,-3.0384
-161.557,-3.26608
-160.569,-3.52544
-159.997,-3.72823
-158.978,-4.08945
-156.46,-4.34605
-155.543,-4.58007
-153.114,-4.80498
-151.392,-4.96111
-150.327,-5.15664
-147.49,-5.25343
-144.455,-5.05687
-139.813,-4.79372
-138.451,-4.54922
-132.437,-3.86321
-129.091,-3.32214
-125.11,-2.82451
-122.598,-2.53335
-118.38,-2.02892
-114.838,-1.55756
-113.239,-1.30627
-107.969,-0.90186
-104.105,-0.54456
-100.282,-0.26378
-96.803,0.04823
-93.311,0.26473
-88.395,0.522
-82.822,0.81869
-77.924,1.0823
-70.494,1.35686
-63.484,1.59881
-56.515,1.76425
-50.619,1.94687
-39.42,2.15816
-31.158,2.31957
-19.471,2.44894
-6.438,2.55526
2.858,2.62299
16.491,2.69855
27.698,2.72515
42.405,2.78353
57.148,2.82925
75.279,2.8556
86.486,2.88219
98.186,2.91605
