x,Curve1
-67.225,-5.7437
-66.549,-5.3232
-65.432,-4.7584
-64.372,-4.0093
-63.451,-3.2864
-62.772,-2.5239
-62.569,-1.9977
-61.288,-1.341
-61.085,-0.8148
-60.404,-0.3812
-60.002,0.3289
-59.348,1.0257
-58.493,1.5776
-57.823,2.3139
-57.25,2.8002
-56.34,3.4968
-55.361,4.0354
-54.82,4.7718
-53.718,5.2971
-53.259,5.823
-51.792,6.2954
-51.101,6.7554
-50.168,7.1756
-48.603,7.5689
-46.426,7.8828
-43.276,7.7222
-40.561,7.1014
-38.255,6.4151
-35.797,5.7946
-34.756,5.1621
-33.427,4.6083
-31.195,4.0668
-29.25,3.4467
-27.443,2.8004
-26.233,2.273
-25.275,1.759
-23.119,1.0203
-21.199,0.3344
-18.015,-0.4053
-16.235,-0.7884
-14.887,-1.2896
-12.294,-1.8971
-9.256,-2.3471
-6.469,-2.7838
-3.184,-3.2604
1.617,-3.8041
6.711,-4.2559
11.454,-4.6153
16.131,-4.8168
22.436,-5.1249
29.819,-5.3025
36.581,-5.4268
44.498,-5.5522
50.535,-5.5575
