x,Curve1
-158.369,-3.16404
-157.424,-2.92956
-156.491,-2.64446
-155.828,-2.28349
-154.651,-1.97299
-150.943,2.25603
-150.873,1.97757
-150.414,2.1486
-150.255,2.51574
-149.291,2.67428
-149.092,2.8832
-147.877,3.04181
-145.946,3.35255
-144.74,3.54913
-140.732,3.58205
-136.638,3.27322
-134.547,2.94476
-130.926,2.52186
-127.536,2.0166
-123.891,1.49877
-120.259,1.03156
-115.877,0.57725
-112.523,0.21756
-110.199,-0.0412
-107.361,-0.3441
-105.525,-0.65998
-101.701,-0.89294
-97.363,-1.17005
-94.54,-1.41599
-91.472,-1.63654
-85.891,-1.86895
-80.8,-2.14582
-74.215,-2.37792
-65.623,-2.60305
-58.051,-2.76521
-46.719,-2.90086
-41.689,-2.93724
-33.641,-2.99799
-22.58,-3.05778
-10.019,-3.09178
2.035,-3.10695
13.336,-3.12236
24.891,-3.15035
36.434,-3.12771
48.24,-3.15562
