x,Curve1
103.11,3.97814
103.568,3.78102
103.801,3.57409
104.273,3.27352
105.423,2.22899
105.481,2.59352
105.497,2.04672
105.521,2.94819
105.558,1.74621
106.827,0.76571
107.214,1.08584
107.527,1.36658
107.902,0.34681
108.46,-0.01781
108.553,-0.41191
108.86,-0.57945
109.368,-0.86032
110.241,-1.16589
111.302,-1.48133
112.175,-1.78689
113.828,-2.00391
118.444,-2.06378
122.186,-1.81809
125.357,-1.54768
128.619,-1.22802
130.248,-0.90316
134.381,-0.44571
137.173,-0.04715
142.361,0.4249
146.358,0.80848
150.04,1.133
151.897,1.35929
156.205,1.68864
159.814,1.97376
163.931,2.19968
168.755,2.47475
173.916,2.71036
181.009,2.98998
187.125,3.18602
195.464,3.36199
203.954,3.50838
214.069,3.64465
222.778,3.68756
232.811,3.77951
244.031,3.84663
252.454,3.84525
262.359,3.86825
268.503,3.85739
277.14,3.8609
