x,Curve1
-137.986,4.77262
-131.268,4.78541
-126.602,4.76439
-122.44,4.71741
-121.559,4.51443
-120.914,4.26664
-120.267,3.51567
-120.01,4.0191
-119.885,3.77718
-119.36,3.26176
-118.811,2.70177
-118.704,2.99487
-117.706,2.06589
-117.558,1.7794
-117.354,2.38469
-117.148,1.4868
-115.95,1.16947
-115.802,0.88299
-115.143,0.60974
-114.611,0.08158
-114.484,0.33648
-113.455,-0.15298
-113.34,-0.3758
-113.225,-0.59862
-112.384,-0.72521
-111.519,-0.89636
-110.642,-1.09297
-109.78,-1.25775
-109.695,-1.42328
-107.829,-1.52977
-106.222,-1.63652
-102.371,-1.58188
-100.651,-1.40827
-99.195,-1.22216
-97.233,-1.01646
-96.321,-0.77992
-93.848,-0.561
-92.926,-0.34356
-90.744,-0.06122
-88.304,0.22137
-86.885,0.4775
-85.996,0.7586
-84.027,0.95157
-80.37,1.38181
-78.46,1.68937
-74.77,2.05595
-71.329,2.40319
-68.333,2.60987
-64.826,2.82978
-62.353,3.04871
-59.598,3.22331
-57.629,3.41628
-54.102,3.59799
-48.534,3.83261
-43.983,4.03441
-39.409,4.19165
-31.22,4.35871
-23.773,4.46136
-16.323,4.55765
-8.833,4.57755
-2.374,4.59009
4.844,4.6352
13.338,4.71338
24.702,4.74335
34.819,4.68295
47.475,4.71415
60.145,4.71988
67.118,4.73928
74.1,4.73959
83.406,4.74848
