x,Curve1
45.508,-8.3146
46.344,-7.8328
47.853,-7.1408
48.699,-6.5849
49.951,-5.8807
51.082,-5.1148
51.428,-4.4356
52.288,-3.7686
53.019,-3.1016
53.607,-2.5458
54.195,-1.99
54.673,-1.2861
55.414,-0.5451
56.67,0.1962
57.274,0.8754
58.396,1.5672
59.113,2.1231
59.836,2.7283
61.33,3.3092
63.076,3.8408
65.708,4.2369
68.797,4.1765
71.188,3.7083
74.581,3.006
76.818,2.3403
79.042,1.5757
81.395,0.8113
83.257,0.2441
85.736,-0.545
86.824,-1.1124
89.945,-1.9259
92.316,-2.5546
94.675,-3.2697
96.067,-3.479
98.449,-4.0212
101.348,-4.5509
104.888,-5.1173
109.194,-5.7452
113.906,-6.2247
119.783,-6.6791
124.637,-7.0598
130.535,-7.3537
136.063,-7.5119
144.167,-7.7061
152.148,-7.851
164.522,-7.957
169.549,-7.992
173.161,-8.0028
177.548,-8.001
183.091,-8.0481
188.639,-8.0458
