x,Curve1
-86.776,5.85057
-83.37,5.62322
-81.05,5.85088
-76.991,5.74928
-72.012,5.74874
-66.872,5.86713
-62.522,5.70961
-58.41,5.87057
-54.534,5.68126
-51.412,5.83484
-47.104,5.73353
-42.94,5.8258
-39.669,5.77955
-36.984,5.85137
-33.441,5.77418
-29.245,5.82274
-25.214,5.75861
-20.328,5.88296
-17.507,5.77369
-14.095,5.87135
-10.542,5.78167
-9.12,5.87705
-5.525,5.73117
-1.427,5.91086
2.458,5.70907
4.557,5.89897
9.109,5.80419
10.681,5.69974
14.23,5.94756
19.143,5.70318
23.706,5.92716
28.037,5.79463
31.933,5.91159
36.016,5.77877
40.4,5.90879
47.182,5.82906
53.086,5.92333
55.902,5.8203
58.305,5.93556
61.13,5.82005
63.257,5.97248
66.912,5.74542
69.72,5.98614
72.821,5.83344
75.713,5.96175
79.561,5.80991
82.439,5.95696
84.499,5.86557
89.441,5.91498
91.506,5.81735
94.844,6.01492
