x,Curve1
-143.214,0.78595
-137.5,0.80421
-134.464,0.6654
-133.036,0.27312
-132.5,-0.10032
-131.607,-0.56577
-130.357,-1.05039
-128.75,-1.74838
-127.321,-2.37367
-126.786,-2.78595
-126.071,-3.12043
-125.179,-3.51306
-124.286,-3.82802
-122.5,-4.28317
-121.25,-4.59304
-120,-4.93204
-118.393,-5.17857
-116.786,-5.33287
-114.286,-5.46718
-111.071,-5.29034
-108.571,-5.08969
-106.607,-4.75347
-105,-4.54369
-103.571,-4.28548
-101.786,-4.03675
-99.643,-3.7344
-97.679,-3.38847
-95.179,-2.99364
-92.321,-2.55975
-89.107,-2.12078
-87.143,-1.78941
-84.107,-1.47191
-80.536,-1.1298
-76.607,-0.74376
-71.25,-0.37621
-66.786,-0.09663
-62.679,0.12933
-55.536,0.34755
-47.143,0.55201
-38.214,0.65973
-30.536,0.74723
-24.464,0.77543
-16.607,0.77566
-11.429,0.79357
-4.107,0.79831
5.714,0.80952
