x,Curve1
-168.176,-3.36647
-166.483,-3.12758
-165.284,-2.87584
-163.236,-2.50142
-162.177,-2.10131
-161.187,-1.79153
-159.658,-1.43652
-159.098,-1.03001
-157.026,-0.62334
-156.51,-0.27489
-154.167,0.15762
-152.88,0.5255
-152.127,0.85461
-150.365,1.18383
-149.152,1.45493
-148.127,1.80988
-147.354,2.1648
-146.388,2.44232
-144.171,2.70708
-142.366,3.09437
-141.564,3.488
-140.563,3.81069
-138.87,4.04958
-136.658,4.30789
-131.77,4.43744
-125.269,4.36718
-124.668,4.16079
-122.163,3.80622
-121.467,3.39339
-119.263,2.97427
-118.004,2.63892
-115.45,2.34888
-115.185,2.03278
-112.573,1.82015
-107.978,1.56258
-103.16,1.26633
-99.796,1.04733
-95.894,0.87356
-91.57,0.59015
-86.471,0.33264
-83.66,0.04907
-80.083,-0.22151
-78.078,-0.56969
-73.062,-0.93689
-71.176,-1.11088
-63.779,-1.32944
-55.363,-1.53499
-50.161,-1.65701
-41.483,-1.84962
-33.828,-2.0617
-24.646,-2.25426
-13.442,-2.44016
-5.729,-2.57481
2.222,-2.72879
11.23,-2.81815
22.226,-2.946
32.712,-3.08035
39.965,-3.15699
52.275,-3.21373
63.572,-3.27704
72.648,-3.27606
84.711,-3.32638
95.508,-3.38328
105.579,-3.40155
