x,Curve1
-132.516,4.95294
-131.355,4.88178
-130.505,4.79014
-130.229,4.71537
-127.431,4.81464
-125.052,4.94103
-123.408,4.98902
-121.938,4.81249
-121.09,4.76166
-118.846,4.88462
-117.322,5.01761
-116.089,4.97027
-115.152,4.82423
-113.291,4.73622
-110.981,4.79796
-109.444,4.89355
-107.663,4.90416
-105.572,4.80939
-102.554,4.89851
-101.048,4.98389
-99.718,4.88555
-97.257,4.8725
-95.42,4.8185
-92.137,4.82945
-90.536,4.90464
-88.703,4.7656
-85.27,4.86842
-84.162,4.82105
-81.022,4.95102
-79.033,4.82221
-75.314,4.85367
-72.93,4.89843
-71.224,4.80018
-69.946,4.68482
-66.282,4.94756
-64.299,4.73372
-60.528,4.94886
-57.463,4.76248
-55.683,4.8139
-53.907,4.90614
-50.412,4.69605
-48.061,4.77141
-46.414,4.94526
-44.775,5.07488
-43.343,5.01058
-43.32,4.8099
-42.549,4.65022
-39.869,4.79368
-37.201,4.97456
-35.915,4.90342
-34.914,4.73698
-34.059,4.56371
-31.422,4.73437
-29.809,4.93882
-27.618,4.91891
-26.96,4.72178
-24.887,4.74606
-23.228,4.88249
-20.494,4.83549
-17.859,4.8803
-14.609,4.75519
-11.633,4.8307
-9.741,4.75289
-6.361,4.87951
-3.85,4.71681
-1.376,4.83302
1.506,4.91871
3.482,4.82732
4.544,4.6813
6.788,4.80426
8.268,4.96446
9.68,4.89335
10.648,4.75752
13.836,4.77865
16.299,4.89145
18.37,4.95655
20.282,4.71888
20.777,4.63396
23.7,4.89993
25.009,4.96145
27.016,4.71361
28.68,4.76841
29.926,4.85032
31.797,4.93238
33.763,4.83759
36.921,4.84851
40.043,4.76418
43.936,4.8535
46.422,4.76563
47.346,4.65699
49.12,4.79005
51.737,4.95391
52.694,4.81467
53.422,4.68218
55.637,4.75411
57.669,4.93144
59.387,4.79578
60.5,4.66678
62.805,4.81016
65.435,4.93661
