x,Curve1
90.774,2.90231
97.736,2.89332
100.713,2.88223
102.109,2.53487
102.573,2.7503
102.895,2.07326
102.904,2.33276
103.036,1.46574
103.04,1.2189
103.096,-0.22411
103.109,1.78856
103.15,-1.42028
103.2,0.63038
103.336,-0.48347
103.39,0.32035
103.472,-1.09733
103.636,0.06732
103.664,-1.65419
103.755,-0.81237
103.765,0.94713
103.825,-2.24271
103.922,-2.89456
104.083,-1.98308
104.865,-2.69786
105.143,-3.41923
105.694,-3.61514
105.868,-3.191
106.776,-3.77913
108.075,-3.97464
109.942,-4.10024
113.524,-4.00342
115.188,-3.83165
117.626,-3.63416
119.142,-3.36121
121.618,-3.12573
123.084,-2.90344
125.08,-2.64922
127.58,-2.38841
129.276,-2.18498
131.329,-1.87377
134.927,-1.51111
136.737,-1.1937
138.464,-0.95862
142.236,-0.67182
145.004,-0.39188
147.293,-0.0932
151.083,0.2126
154.35,0.4928
157.355,0.76021
162.639,1.06679
165.568,1.25821
169.27,1.47535
173.457,1.68009
178.685,1.92969
184.859,2.12914
193.549,2.35525
198.632,2.45919
206.237,2.59612
215.803,2.70243
226.596,2.7904
235.851,2.83325
246.331,2.85777
253.063,2.86765
261.532,2.87212
272.761,2.89703
284.219,2.90307
295.185,2.91518
307.154,2.93415
