x,Curve1
-81.605,12.8433
-80.512,12.3511
-80.309,11.9267
-79.098,11.3524
-79.037,10.8319
-78.225,10.1477
-77.593,9.0661
-77.528,9.573
-77.255,8.6966
-76.569,8.0397
-75.872,7.465
-75.808,6.9582
-75.479,6.5201
-75.28,6.0682
-75.201,5.6847
-74.494,5.1922
-73.923,4.6311
-73.863,4.0969
-73.034,3.5497
-72.844,3.0294
-72.13,2.5917
-71.704,1.9071
-71.668,2.1811
-70.739,1.4149
-70.542,0.9493
-69.957,0.4978
-69.623,0.1008
-68.768,-0.2409
-68.43,-0.6104
-67.576,-0.9658
-65.957,-1.3616
-63.667,-1.5376
-60.569,-1.4252
-58.585,-0.985
-56.33,-0.435
-54.325,0.1696
-52.063,0.7744
-50.157,1.6117
-47.749,2.3537
-46.649,2.9163
-44.109,3.6857
-41.829,4.4276
-40.344,4.9906
-38.86,5.5399
-36.464,6.1859
-34.606,6.6533
-31.425,7.4097
-29.031,8.042
-25.988,8.7297
-23.219,9.2802
-20.198,9.7898
-15.625,10.383
-10.801,10.9353
-7.152,11.3359
-2.096,11.683
3.721,11.9623
9.151,12.2275
15.217,12.4386
21.017,12.5808
26.681,12.6682
31.71,12.8098
37.367,12.8423
43.28,12.8614
48.171,12.9344
52.799,12.9523
