x,Curve1
-156.321,-2.34144
-155.163,-2.19893
-154.37,-1.95432
-153.117,-1.73476
-151.847,-1.50237
-151.793,-1.25871
-149.921,-0.9358
-148.78,-0.60741
-148.162,-0.30534
-147.188,0.08694
-145.507,0.45448
-144.653,0.94916
-143.241,1.29713
-142.839,1.62457
-141.674,1.97221
-140.723,2.34523
-139.653,2.61583
-139.329,2.87907
-138.227,3.17535
-136.585,3.51079
-135.548,3.95443
-134.089,4.34091
-133.543,4.5852
-132.663,4.90043
-131.029,5.22945
-129.697,5.51321
-129.334,5.80855
-127.548,6.06084
-125.867,6.42838
-124.105,6.6614
-121.62,6.88254
-118.506,7.01474
-114.548,6.83391
-112.051,6.46532
-110.125,6.03189
-107.253,5.56762
-105.875,5.08862
-104.147,4.6934
-102.905,4.30397
-100.875,3.75529
-99.417,3.34049
-96.713,2.94011
-93.611,2.46332
-92.146,2.05494
-89.847,1.72456
-87.858,1.34249
-86.577,1.18388
-84.231,0.89201
-81.741,0.517
-79.65,0.2184
-76.811,-0.07283
-73.726,-0.36375
-69.155,-0.64635
-64.124,-0.954
-60.889,-1.12293
-53.96,-1.28713
-49.239,-1.44774
-42.54,-1.59941
-30.669,-1.74445
-17.567,-1.88791
-2.439,-1.9839
10.305,-2.01884
24.987,-2.07694
39.511,-2.06473
57.712,-2.06063
71.489,-2.05578
