x,Curve1
-74.627,4.80872
-73.313,4.58424
-72.767,4.35862
-72.19,4.1079
-71.58,3.83206
-71.209,3.5433
-70.279,3.21762
-69.485,2.99866
-69.091,2.69106
-68.298,2.4721
-67.692,1.80003
-67.52,2.26569
-67.222,2.03343
-66.818,1.5183
-65.704,1.24949
-65.455,1.05489
-64.95,0.86066
-64.884,0.60919
-64.106,0.40278
-63.504,0.13322
-63.007,-0.05473
-62.117,-0.34902
-60.699,-0.65511
-60.351,-1.1263
-60.161,-0.87445
-59.829,-1.33308
-59.018,-1.76585
-58.748,-1.57678
-56.929,-1.99549
-56.216,-2.15168
-52.776,-2.23468
-49.171,-2.047
-47.356,-1.86195
-45.192,-1.5506
-42.954,-1.29574
-41.589,-0.9604
-39.696,-0.63687
-37.755,-0.351
-36.455,0.03455
-34.594,0.3832
-32.477,0.73221
-30.576,1.04947
-28.476,1.41104
-26.575,1.7283
-23.442,2.08509
-22.029,2.38277
-18.298,2.87252
-14.726,3.28657
-9.986,3.58912
-3.903,4.04459
0.629,4.3091
8.29,4.53418
15.79,4.68355
27.41,4.8201
44.245,4.88883
58.801,4.93535
72.957,4.89323
88.073,4.90283
100.902,4.8965
