x,Curve1
-129.338,-6.3894
-129.106,-6.21236
-128.549,-5.91977
-127.768,-5.61168
-127.737,-4.96551
-126.986,-5.30358
-126.868,-4.54968
-126.594,-4.23415
-126.499,-3.96487
-126.293,-3.60323
-126.182,-3.01086
-126.098,-2.7339
-125.95,-3.33382
-125.771,-2.28757
-125.508,-1.96436
-125.096,-1.74107
-124.913,-1.36406
-124.204,0.15938
-123.93,-1.02509
-123.621,-0.73263
-123.392,-0.38635
-123.244,0.51372
-122.859,-0.07839
-122.203,0.81425
-121.963,1.15284
-121.136,1.43019
-120.93,2.29183
-120.637,1.76121
-120.53,2.02281
-119.146,2.59275
-118.319,2.87009
-114.855,3.0411
-108.817,2.98266
-106.66,2.69915
-104.331,2.30034
-101.945,1.86311
-100.866,1.47135
-97.501,1.04231
-96.075,0.75073
-93.228,0.33681
-90.438,-0.03869
-83.886,-0.44302
-78.268,-0.88629
-72.292,-1.23707
-65.1,-1.57185
-59.707,-2.03062
-54.02,-2.52001
-49.019,-3.04821
-45.387,-3.32328
-36.693,-3.8342
-27.622,-4.09878
-18.291,-4.37092
-8.442,-4.65818
2.42,-4.9603
17.719,-5.24476
30.732,-5.49193
45.76,-5.76115
60.133,-5.92301
78.28,-6.12139
96.266,-6.21217
114.771,-6.31807
129.681,-6.34119
144.096,-6.36457
