x,Curve1
1.568,-0.16889
2.847,-0.20743
3.836,-0.1787
4.792,-0.12609
6.086,-0.16042
6.423,-0.18925
7.436,-0.16719
8.223,-0.14375
9.798,-0.18707
11.204,-0.16475
12.723,-0.12555
13.96,-0.1645
15.029,-0.14087
15.704,-0.11444
16.885,-0.17331
18.393,-0.19198
19.641,-0.17153
20.71,-0.14178
21.835,-0.11353
23.353,-0.15995
24.478,-0.19898
25.884,-0.20112
26.784,-0.1669
26.953,-0.16832
27.684,-0.13421
28.978,-0.09668
30.272,-0.14171
31.115,-0.18092
32.072,-0.21241
33.365,-0.17946
34.153,-0.1499
34.659,-0.11441
35.671,-0.08164
36.459,-0.12853
37.021,-0.16639
37.865,-0.19796
38.877,-0.16978
39.721,-0.14018
40.958,-0.11033
42.083,-0.11877
42.871,-0.1519
43.49,-0.18361
44.165,-0.20611
44.896,-0.17047
45.514,-0.1349
46.414,-0.11138
47.033,-0.09416
47.652,-0.12434
48.271,-0.153
48.945,-0.17855
49.564,-0.20414
50.295,-0.17462
50.633,-0.15147
51.252,-0.12507
52.152,-0.09391
52.826,-0.12558
53.389,-0.16344
54.12,-0.19814
54.908,-0.16093
55.751,-0.1191
56.314,-0.0958
57.27,-0.13494
57.945,-0.16967
58.226,-0.18784
58.845,-0.15532
59.351,-0.12136
60.364,-0.09777
61.038,-0.11415
61.657,-0.13974
62.276,-0.11029
63.12,-0.08528
64.076,-0.11066
64.695,-0.15001
65.538,-0.18769
66.494,-0.15649
67.113,-0.12857
68.182,-0.09577
69.363,-0.12099
70.263,-0.15099
71.163,-0.16723
72.513,-0.13578
73.188,-0.1124
74.031,-0.09198
74.763,-0.12209
75.719,-0.15052
76.225,-0.1716
77.575,-0.12944
78.306,-0.10297
79.206,-0.12991
79.712,-0.15864
80.556,-0.15198
81.118,-0.11797
81.625,-0.09165
82.356,-0.12176
83.031,-0.14732
83.481,-0.16996
84.662,-0.1325
85.393,-0.11368
86.237,-0.10854
87.137,-0.11561
87.756,-0.13814
88.149,-0.16388
88.88,-0.14812
89.893,-0.123
90.343,-0.10283
91.749,-0.12944
92.312,-0.15048
93.661,-0.13126
94.111,-0.10803
94.899,-0.11823
95.349,-0.13934
96.249,-0.11888
96.699,-0.10789
97.486,-0.13796
98.217,-0.16654
99.174,-0.1491
99.511,-0.12747
100.355,-0.10552
101.255,-0.09118
102.042,-0.10902
102.886,-0.12988
103.673,-0.15689
104.63,-0.18074
105.473,-0.14655
105.979,-0.12482
106.711,-0.10294
107.161,-0.09194
108.117,-0.10661
109.073,-0.13811
109.748,-0.15602
110.535,-0.15704
111.66,-0.13031
112.617,-0.09759
113.46,-0.07716
114.304,-0.09955
114.979,-0.13734
115.71,-0.16898
116.666,-0.16071
117.172,-0.1298
117.454,-0.09904
118.129,-0.08331
118.916,-0.10268
119.31,-0.13301
120.154,-0.16151
120.716,-0.14739
121.503,-0.10254
122.178,-0.10516
123.247,-0.13811
124.316,-0.12518
125.384,-0.07403
126.116,-0.09802
126.622,-0.13133
127.297,-0.17677
128.534,-0.15609
129.153,-0.11593
129.884,-0.07724
130.503,-0.06307
131.29,-0.09009
131.909,-0.12485
133.09,-0.14702
134.103,-0.18307
135.284,-0.1456
136.071,-0.09922
137.196,-0.05874
138.152,-0.09788
138.884,-0.14022
140.121,-0.18529
141.471,-0.14466
142.258,-0.10592
142.99,-0.06417
143.721,-0.04993
144.508,-0.09682
145.183,-0.13002
145.858,-0.15558
146.364,-0.17054
147.264,-0.13173
148.164,-0.10363
149.345,-0.09675
150.302,-0.07931
151.539,-0.11215
152.045,-0.15158
152.833,-0.17247
153.845,-0.14277
154.633,-0.11015
154.914,-0.09162
155.87,-0.07265
156.714,-0.09657
157.389,-0.12977
158.457,-0.16424
159.526,-0.13909
160.314,-0.09271
161.382,-0.07061
162.507,-0.09587
163.013,-0.13377
164.138,-0.17433
165.038,-0.14622
165.769,-0.10752
166.219,-0.07359
166.894,-0.05328
168.357,-0.08291
168.919,-0.12536
170.1,-0.15671
171.169,-0.13461
171.675,-0.09606
172.631,-0.06639
173.644,-0.09631
174.263,-0.13872
175.388,-0.14105
176.288,-0.11601
177.3,-0.1337
178.312,-0.10246
179.044,-0.07753
