x,Curve1
11.45,-5.63979
13.631,-5.49543
14.86,-5.3123
15.719,-5.42505
16.001,-5.5991
17.955,-5.63631
19.158,-5.47335
20.095,-5.32424
21.88,-5.49594
22.396,-5.68305
24.36,-5.51219
25.664,-5.26853
26.69,-5.44814
27.198,-5.64197
28.869,-5.50513
31.367,-5.30658
31.432,-5.45413
32.491,-5.60684
34.146,-5.48344
35.507,-5.39406
38.179,-5.45699
39.004,-5.59664
40.383,-5.49381
41.812,-5.35063
44.174,-5.46103
45.283,-5.57338
48.198,-5.4413
49.11,-5.31236
50.411,-5.47139
52.848,-5.52127
55.505,-5.3963
58.435,-5.45212
62.502,-5.39877
64.906,-5.47554
67.97,-5.42376
69.34,-5.32765
70.684,-5.45307
71.526,-5.57927
73.473,-5.42185
74.643,-5.28579
75.952,-5.43811
76.595,-5.52435
79.226,-5.41956
80.655,-5.27638
81.714,-5.42908
82.756,-5.59524
84.728,-5.41765
86.483,-5.21356
87.492,-5.40661
87.507,-5.59451
89.971,-5.42286
91.141,-5.2868
93.344,-5.52496
95.741,-5.40712
97.612,-5.31023
99.105,-5.51594
101.277,-5.37831
104.508,-5.39339
105.393,-5.48596
108.676,-5.25934
110.586,-5.53152
112.29,-5.36778
113.677,-5.25822
114.995,-5.40381
116.355,-5.51577
118.536,-5.37142
119.664,-5.26898
121.874,-5.50042
