x,Curve1
102.264,0.76082
107.092,0.77238
112.431,0.77184
115.993,0.75944
116.799,0.59068
117.618,0.36771
118.194,0.10259
119.593,-0.39755
119.779,-0.13251
120.43,-0.69281
120.994,-0.90974
121.054,-1.14468
121.38,-1.42785
122.244,-1.82553
122.438,-1.59061
122.539,-1.98821
123.103,-2.20513
123.66,-2.39796
123.716,-2.61483
124.602,-3.10287
124.795,-2.86193
125.693,-3.39214
126.52,-3.64523
127.077,-3.83806
127.123,-4.01879
128.191,-4.21769
128.238,-4.40444
129.323,-4.66961
129.625,-4.85639
131.201,-5.05534
131.504,-5.24814
132.819,-5.42297
134.371,-5.52554
135.414,-5.62805
139.986,-5.61044
140.457,-5.46591
143.965,-5.26144
144.922,-5.0266
147.154,-4.80393
147.608,-4.59313
149.324,-4.34029
150.786,-4.09345
151.499,-3.89473
154.687,-3.43722
155.642,-3.19033
157.11,-2.96758
158.32,-2.72674
160.022,-2.41968
161.73,-2.13672
164.451,-1.84181
165.906,-1.56485
166.867,-1.34205
169.339,-1.06519
172.832,-0.80651
174.548,-0.55367
178.044,-0.30703
181.058,-0.16276
182.795,0.00574
185.296,0.16814
187.549,0.30647
192.591,0.47464
197.894,0.61869
205.234,0.74445
215.646,0.7916
225.05,0.80271
234.459,0.79574
244.12,0.79477
253.781,0.7938
264.714,0.7927
