x,Curve1
50.158,7.84268
51.51,7.63799
53.037,7.15384
53.188,7.38989
53.509,6.84959
55.414,5.95557
55.42,6.28477
55.714,6.59539
57.007,5.59565
57.839,4.72626
58.171,5.01204
58.216,5.3164
59.814,4.45338
61.339,4.13692
62.33,3.66508
62.381,3.29863
63.878,3.0008
64.647,2.67177
66.163,2.36152
66.788,2.12563
67.432,1.87732
67.645,1.57301
69.094,1.30623
75.111,0.92859
78.173,1.12177
80.9,1.36458
83.54,1.66326
84.619,1.96783
86.503,2.25393
88.865,2.56498
89.207,2.84456
92.364,3.14335
95.127,3.52901
95.709,3.82106
99.823,4.16974
100.815,4.53019
104.9,4.89749
108.459,5.2709
114.62,5.80013
120.39,6.24853
125.013,6.43582
132.488,6.78519
141.343,7.07895
154.938,7.31779
170.688,7.50118
184.495,7.60342
206.652,7.65769
218.774,7.67884
233.511,7.68189
248.028,7.66005
